City;Customer Age;Annual Income;Subscribed to Newsletter
New York;35.5;50000;Yes
Los Angeles;28.0;45000;No
London;42.3;60000;Yes
Sydney;30.1;55000;Yes
Chicago;45.2;70000;No
Toronto;37.8;58000;Yes
Paris;39.5;62000;Yes
Melbourne;33.7;53000;No
Berlin;29.9;48000;Yes
Miami;36.4;56000;No
Tokyo;41.0;65000;Yes
Seattle;32.6;51000;Yes
Houston;38.9;59000;No
Madrid;34.8;54000;Yes
Dubai;31.3;52000;Yes
Boston;40.2;63000;No
Singapore;36.7;57000;Yes
San Francisco;29.8;49000; Yes
Vancouver;33.5;56000; Yes
Rome; 37.1;61000;No
Shanghai;31.9;53000; Yes
Moscow;36.6;58000;No
Dublin;40.5;64000;Yes
Hong Kong;35.2;57000; No
Mumbai;42.8;66000;Yes
Oslo;34.4;55000;Yes
Stockholm;30.7;52000;No
Tokyo;38.2;59000;Yes
Berlin;27.6;48000;No
Paris;45.9;70000;Yes
London;31.4;55000;Yes
New York;39.8;65000;No
Los Angeles;34.5;60000;Yes
Sydney;29.3;52000;Yes
Chicago;36.7;58000;No
Toronto;43.1;71000;Yes
Dubai;30.5;54000;Yes
Miami;28.9;50000;Yes
Moscow;32.4;56000;No
Hong Kong;37.6;62000;Yes
Singapore;41.8;69000;No
San Francisco;33.2;57000;Yes
Vancouver;29.7;53000;Yes
Rome;35.4;59000;No
Shanghai;42.1;68000;Yes
Dublin;37.9;64000;Yes
Oslo;28.3;51000;Yes
Stockholm;39.6;67000;No
Boston;36.2;58000;Yes
Mumbai;43.5;72000;No
Paris;30.9;53000;Yes
London;34.6;60000;No
New York;41.2;67000;Yes
Los Angeles;26.8;47000;Yes
Sydney;38.4;61000;No
Chicago;32.1;55000;Yes
Toronto;45.7;73000;No
Dubai;27.5;49000;Yes
Miami;31.8;56000;Yes
Moscow;40.3;65000;No
Hong Kong;35.9;62000;Yes
Singapore;29.2;52000;Yes
San Francisco;37.1;59000;No
Vancouver;33.7;57000;Yes
Rome;42.6;68000;No
Shanghai;38.9;64000;Yes
Dublin;30.4;54000;Yes
Oslo;36.5;60000;No
